Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
2011,9,18,12,40,51.8,,,INDIA:  SIKKIM,27.73,88.155,50,6.9,,111,3,,,177,3,22.3,3,6000,4,6000,4,111,3,,,177,3,22.3,3,,4,6000,4,India,Asia,EU
2012,6,24,7,59,34.8,,,CHINA:  YUNNAN AND SICHUAN PROVINCES,27.767,100.781,10,5.5,,4,1,,,394,3,,4,6768,4,,,4,1,,,394,3,,4,6768,4,,,China,Asia,EU
2016,11,27,23,35,2,,,"NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA",27.802,86.532,10,5.4,4,1,1,,,1,1,,1,2,1,,,1,1,,,1,1,,1,2,1,,,Nepal,Asia,EU
2015,5,12,7,6,13,,,NEPAL:   DOLAKHA,27.809,86.066,15,7.3,7,117,3,,,2800,4,,2,,2,,,117,3,,,2800,4,,2,,2,,,Nepal,Asia,EU
2006,7,22,1,10,29,,,CHINA:  YANJIN,27.995,104.138,56,4.9,,22,1,,,106,3,,,,,,,22,1,,,106,3,,,,,,,China,Asia,EU
2006,8,25,5,51,44.3,,,CHINA:  SICHUAN PROVINCE,28.012,104.151,22,4.6,,1,1,,,31,1,,2,,,,,1,1,,,31,1,,2,,,,,China,Asia,EU
2015,4,25,6,12,35,,,NEPAL:   KATHMANDU; INDIA; CHINA; BANGLADESH,28.231,84.731,8,7.8,8,8957,4,3,1,24000,4,6000,4,498852,4,256697,4,8957,4,3,1,24000,4,6000,4,498852,4,256697,4,Nepal,Asia,EU
2013,8,31,0,5,15,,,CHINA:  YUNNAN PROVINCE:  BENZILAN,28.243,99.35,8,5.8,,5,1,,,24,1,,3,600,3,55500,4,5,1,,,24,1,,3,600,3,55500,4,China,Asia,EU
2019,6,17,14,55,45,,,CHINA:  SICHUAN:  YIBIN,28.405,104.957,10,5.8,,13,1,,,200,3,1300,4,,,12700,4,13,1,,,200,3,1300,4,,,12700,4,China,Asia,EU
1990,3,4,19,46,19.6,,,"PAKISTAN:  KALAT, QUETTA, MASTUNG",28.925,66.331,10,6.1,,11,1,,,40,1,1,2,,,,3,11,1,,,40,1,1,2,,,,3,Pakistan,Asia,EU
1993,3,20,14,51,59.7,,,CHINA:  TIBET (XIZANG PROVINCE): NGAMRING,29.084,87.333,12,6.2,,2,1,,,3,1,,1,,,,,2,1,,,3,1,,1,,,,,China,Asia,EU
1992,8,28,0,50,50.4,,,PAKISTAN:  KALAT,29.087,66.74,9,5.5,,4,1,,,200,3,,2,,3,,,4,1,,,200,3,,2,,3,,,Pakistan,Asia,EU
2021,9,15,20,33,32,,,CHINA: SICHUAN PROVINCE: LUXIAN (LU),29.182,105.391,10,5.4,7,3,1,,,88,2,250,4,809,3,7290,4,3,1,,,88,2,250,4,809,3,7290,4,China,Asia,EU
2019,2,25,5,16,25,,,CHINA:  SICHUAN PROVINCE: RONGXIAN,29.47,104.609,10,4.9,,2,1,,,12,1,2,2,9,1,10911,4,2,1,,,12,1,2,2,9,1,10911,4,China,Asia,EU
1948,5,25,7,11,21,,,CHINA:  SICHUAN PROVINCE,29.5,100.5,18,7.3,10,800,3,,,200,3,,3,600,3,,,800,3,,,200,3,,3,600,3,,,China,Asia,EU
2001,2,23,0,9,23.6,,,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",29.513,101.129,33,5.6,,3,1,,,109,3,,3,60000,4,60000,4,3,1,,,109,3,,3,60000,4,,,China,Asia,EU
1966,6,27,10,41,9.5,,,NEPAL-INDIA,29.554,80.854,23,6.3,8,80,2,,,100,2,1,2,5200,4,,,80,2,,,100,2,1,2,5200,4,,,Nepal,Asia,EU
2019,9,7,22,42,14,,,CHINA:  SICHUAN PROVINCE: NEIJIANG,29.573,105.064,10,5.1,,1,1,,,63,2,,2,132,3,5041,4,1,1,,,63,2,,2,132,3,5041,4,China,Asia,EU
2005,11,26,0,49,37.6,,,"CHINA:  JIANGXI:  JIUJIANG, RUICHANG",29.695,115.689,10,5.2,,16,1,,,8000,4,,3,150000,4,,,16,1,,,8000,4,,3,150000,4,,,China,Asia,EU
2022,9,5,4,52,19,,,CHINA:  SICHUAN PROVINCE,29.726,102.279,10,6.6,9,93,2,25,1,400,3,,3,,,,,93,2,25,1,400,3,,3,,,,,China,Asia,EU
1992,10,12,13,9,55.5,,,EGYPT:  CAIRO,29.778,31.144,22,5.3,,545,3,,,6512,4,1200,4,9350,4,9350,4,545,3,,,6512,4,1200,4,9350,4,,,Egypt,Africa,EU
2008,10,6,8,30,45.5,,,CHINA:  TIBET (XIZANG PROVINCE),29.807,90.35,12,6.3,,9,1,,,19,1,,2,,3,,,9,1,,,19,1,,2,,3,,,China,Asia,EU
1981,12,12,20,26,46.9,,,PAKISTAN:  CENTRAL,29.856,66.962,33,4,,6,1,,,12,1,,2,45,1,45,1,6,1,,,12,1,,2,45,1,,,Pakistan,Asia,EU
1989,11,20,3,21,7.8,,,CHINA:  SICHUAN PROVINCE:  JIANGBEI COUNTY,29.882,106.804,33,4.7,,4,1,,,161,3,5,2,5000,4,53000,4,4,1,,,161,3,5,2,5000,4,53000,4,China,Asia,EU
1989,4,15,20,34,8.9,,,CHINA:  SICHUAN PROVINCE:  BATANG,29.987,99.195,13,6.2,,11,1,,,42,1,164,4,,,,,11,1,,,42,1,164,4,,,,,China,Asia,EU
2004,5,8,20,11,44.2,,,PAKISTAN:  QUETTA,30.126,67.121,10,4.5,,1,1,,,30,1,,1,,,,,1,1,,,30,1,,1,,,,1,Pakistan,Asia,EU
2021,10,6,22,1,8,,,PAKISTAN: BALOCHISTAN PROVINCE,30.22,68.014,9,5.9,8,42,1,,,229,3,,2,,3,,2,42,1,,,229,3,,2,,3,,2,Pakistan,Asia,EU
2010,1,30,21,36,58,,,CHINA:  SICHUAN PROVINCE: MOXI,30.268,105.668,10,4.7,,1,1,,,15,1,,2,200,3,200,3,1,1,,,15,1,,2,200,3,,,China,Asia,EU
2013,4,20,0,2,47.5,,,CHINA:  SICHUAN PROVINCE:  LONGMEN,30.308,102.888,14,6.6,,196,3,21,1,11470,4,6800,4,,3,,3,196,3,21,1,11470,4,6800,4,,3,,3,China,Asia,EU
2014,11,22,8,55,58,,,CHINA:  SICHUAN PROVINCE:  GARZE,30.34,101.737,9,5.9,3,5,1,,,65,2,,3,30,1,27400,4,5,1,,,65,2,,3,30,1,27400,4,China,Asia,EU
2022,6,1,9,0,8,,,CHINA: SICHUAN PROVINCE,30.416,102.989,10,5.9,7,4,1,,,14,1,,2,,,,2,4,1,,,14,1,,2,,,,2,China,Asia,EU
1960,2,29,23,40,14,1897,,MOROCCO:  AGADIR,30.45,-9.62,33,5.9,10,13100,4,,,25000,4,120,4,,3,,,13100,4,,,25000,4,120,4,,3,,,Morocco,Africa,EU
2005,12,14,7,9,54.1,,,"INDIA:  JAUSARI, CHAMOLI, NANDPRAYAG",30.476,79.255,44,5.3,,1,1,,,4,1,,2,1,1,1,1,1,1,,,4,1,,2,1,1,,,India,Asia,EU
1999,3,28,19,5,11,,,"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",30.512,79.403,15,6.6,8,100,2,,,394,3,70,4,21100,4,21100,4,100,2,,,394,3,,4,21100,4,,,India,Asia,EU
2008,10,28,23,9,57.6,,,PAKISTAN:  QUETTA,30.639,67.351,15,6.4,6,215,3,,,320,3,,4,3487,4,3487,4,215,3,,,320,3,,4,3487,4,4125,4,Pakistan,Asia,EU
1991,10,19,21,23,14.3,,,"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",30.78,78.774,10,7,8,2000,4,,,1800,4,60,4,7500,4,7500,4,2000,4,,,1800,4,60,4,7500,4,,,India,Asia,EU
1981,1,23,21,13,51.7,,,CHINA:  SICHUAN PROVINCE,30.927,101.098,33,6.8,8,150,3,,,489,3,5,2,2992,4,,,150,3,,,489,3,5,2,2992,4,,,China,Asia,EU
2008,5,12,6,28,0.5,3586,,CHINA:  SICHUAN PROVINCE,30.98,103.396,10,7.9,9,87652,4,,,374171,4,86000,4,5360000,4,5360000,4,87652,4,,,374171,4,86000,4,5360000,4,21000000,4,China,Asia,EU
1989,9,22,2,25,50.8,,,CHINA:  SICHUAN PROVINCE:  XIAOJIN COUNTY,31.583,102.433,15,6.1,,1,1,,,151,3,,3,4270,4,,,1,1,,,151,3,,3,4270,4,,,China,Asia,EU
1982,6,15,23,24,28.6,,,CHINA:  SICHUAN PROVINCE:  GARZE,31.907,99.931,10,5.5,7,10,1,,,5,1,,1,,,,,10,1,,,5,1,,1,,,,,China,Asia,EU
1986,4,26,7,35,16.1,,,"INDIA:  KASHMIR:  DHARMSALA,  LAHORE, PAKISTAN",32.128,76.374,33,5.3,,6,1,,,30,1,,3,,,,,6,1,,,60,1,,3,,,,3,India,Asia,EU
1963,2,21,17,14,31,,,LIBYA:  BARCE (AL MARJ),32.6,21,5,5.4,,300,3,,,375,3,5,2,,3,,3,300,3,,,375,3,5,2,,3,,,Libya,Africa,EU
1980,8,23,21,36,51.6,,,INDIA:  KASHMIR,32.913,75.633,25,4.9,,15,1,,,40,1,,2,,3,,3,15,1,,,40,1,,2,,3,,,India,Asia,EU
2013,5,1,6,57,13.4,,,"INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",33.061,75.863,15,5.7,,3,1,,,90,2,19.5,3,1136,4,95532,4,3,1,,,90,2,19.5,3,1136,4,95532,4,India,Asia,EU
2022,6,21,20,54,36,,,AFGHANISTAN: PAKTIKA PROVINCE; PAKISTAN,33.092,69.514,10,5.9,9,1150,4,,,1600,4,,4,3000,4,,4,1150,4,,,1600,4,,4,3000,4,,4,Afghanistan,Asia,EU
2019,9,24,11,1,55,,,PAKISTAN:  MIRPUR DISTRICT,33.106,73.766,10,5.6,,39,1,,,746,3,17,3,1756,4,5709,4,39,1,,,746,3,17,3,1756,4,5709,4,Pakistan,Asia,EU
2006,3,10,7,50,14.3,,,PAKISTAN:  MIRPUR DISTRICT,33.129,73.887,10,4.9,,1,1,,,22,1,,,,,,,1,1,,,22,1,,,,,,,Pakistan,Asia,EU
2010,4,13,23,49,38.3,,,CHINA:  QINGHAI PROVINCE:  YUSHU,33.165,96.548,17,6.9,,2220,4,70,2,12135,4,500,4,15000,4,,,2220,4,70,2,12135,4,500,4,15000,4,,,China,Asia,EU
2017,8,8,13,19,54,,,CHINA:  SICHUAN PROVINCE:  ABA,33.193,103.855,9,6.5,5,29,1,,,525,3,500,4,100,2,72500,4,29,1,,,525,3,500,4,100,2,72500,4,China,Asia,EU
1992,5,20,12,20,32.8,,,"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL",33.377,71.317,16,6,,36,1,,,100,2,,2,400,3,,,6,1,,,100,2,,2,400,3,,,Pakistan,Asia,EU
2004,7,18,8,31,45.8,,,AFGHANISTAN: PAKTIA PROVINCE,33.426,69.524,10,5.2,,2,1,,,40,1,,3,,3,,3,2,1,,,40,1,,3,,3,,,Afghanistan,Asia,EU
2015,7,24,20,59,12,,,PAKISTAN:  ABBOTTABAD,33.856,73.193,17,5.1,5,3,1,,,1,1,,1,3,1,,,3,1,,,1,1,,1,3,1,,,Pakistan,Asia,EU
2010,10,10,21,44,25.9,,,"PAKISTAN:  KHANPUR, HARIPUR",33.869,72.887,33,5.2,,1,1,,,15,1,,2,,,100,1,1,1,,,15,1,,1,,,100,2,Pakistan,Asia,EU
2009,4,16,21,27,51.3,,,AFGHANISTAN:  NANGARHAR,34.185,70.076,6,5.4,,19,1,,,51,2,,2,200,3,200,3,19,1,,,51,2,,2,200,3,,,Afghanistan,Asia,EU
1999,2,11,14,8,51.6,,,"AFGHANISTAN:  LOWGAR, VARDAK, KABUL",34.259,69.364,33,6,,70,2,,,500,3,,3,7000,4,7000,4,70,2,,,500,3,,3,7000,4,,,Afghanistan,Asia,EU
2005,10,8,3,50,39.1,,,"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA",34.451,73.649,15,7.6,8,76213,4,,,146599,4,6680,4,,3,,3,76213,4,,,146599,4,6680,4,,3,,,Pakistan,Asia,EU
2013,7,21,23,45,56.6,,,"CHINA:   GANSU:  DINGXI, MIN",34.512,104.262,8,6,,94,2,5,1,1001,4,466,4,1968,4,22496,4,94,2,5,1,1001,4,466,4,1968,4,22496,4,China,Asia,EU
2013,4,24,9,25,30,,,AFGHANISTAN:  KAMA,34.526,70.22,64,5.5,,18,1,,,141,3,,2,,,676,3,18,1,,,141,3,,2,,,676,3,Afghanistan,Asia,EU
2021,5,21,18,4,13,,,CHINA: QINGHAI PROVINCE,34.598,98.251,10,7.3,9,20,1,,,300,3,,1,,,,,20,1,,,300,3,,1,,,,,China,Asia,EU
1984,2,1,14,22,7.9,,,"AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",34.616,70.484,33,5.8,4,1,1,,,35,1,5,2,,,,,1,1,,,35,1,5,2,,,,,Afghanistan,Asia,EU
2003,11,13,2,35,10.3,,,"CHINA:  GANSU PROVINCE:  JONE, LINTAN, MINXIAN",34.712,103.834,10,5.1,,1,1,,,30,1,,1,10,1,,,1,1,,,30,1,,1,10,1,,,China,Asia,EU
2004,2,14,10,30,22.1,,,"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA",34.774,73.216,11,5.4,,24,1,,,40,1,,3,1420,4,1420,4,24,1,,,40,1,,3,1420,4,5379,4,Pakistan,Asia,EU
1974,12,28,12,11,43.7,2071,,"PAKISTAN:  BALAKOT, PATAN",35.1,72.9,22,6.2,7,5300,4,,,17000,4,3.255,2,,3,,3,5300,4,,,17000,4,3.255,2,,3,,,Pakistan,Asia,EU
1990,10,25,4,53,59.9,,,"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND",35.121,70.486,114,6,4,11,1,,,250,3,,1,,,,,11,1,,,250,3,,1,,,,,Afghanistan,Asia,EU
2004,2,24,2,27,46.2,,,"MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH",35.142,-3.997,0,6.4,9,628,3,,,926,3,400,4,2539,4,,,628,3,,,926,3,400,4,2539,4,,,Morocco,Africa,EU
2001,6,1,14,0,43.6,,,AFGHANISTAN:  HINDU KUSH:  PARVAN,35.169,69.389,62,5,,4,1,,,20,1,,1,,2,,2,4,1,,,20,1,,,,2,,,Afghanistan,Asia,EU
2007,10,26,6,50,6.6,,,PAKISTAN:  GHANCHE,35.304,76.753,10,4.8,,1,1,,,12,1,,,,,,,1,1,,,12,1,,,,,,,Pakistan,Asia,EU
1999,12,22,17,36,56.2,,,ALGERIA:  NORTHERN:  AIN TEMOUCHENT,35.321,-1.281,10,5.6,7,24,1,,,175,3,60.929,4,,3,,3,24,1,,,175,3,60.929,4,3000,4,,,Algeria,Africa,EU
2002,11,20,21,32,30.8,,,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",35.414,74.515,33,6.3,,19,1,,,40,1,,3,100,2,100,2,19,1,,,40,1,,3,100,2,1256,4,Pakistan,Asia,EU
1967,7,13,2,10,20,,,ALGERIA:  NEAR SIG,35.5,-0.1,13,5,,10,1,,,15,1,,1,40,1,,,10,1,,,15,1,,1,40,1,,,Algeria,Africa,EU
2002,11,1,22,9,29.2,,,PAKISTAN:  GILGIT,35.517,74.654,33,5.4,,11,1,,,40,1,,3,,3,,3,11,1,,,40,1,,3,,,1000,4,Pakistan,Asia,EU
2010,4,18,20,28,50.2,,,AFGHANISTAN:  SAMANGAN PROVINCE,35.633,67.658,13,5.6,,11,1,,,70,2,,4,2000,4,,,11,1,,,70,2,,4,2000,4,,,Afghanistan,Asia,EU
2016,1,25,4,23,13,5792,,MOROCCO:  MELILLA,35.649,-3.682,12,6.3,6,1,1,,,26,1,,1,,1,,1,1,1,,,26,1,,1,,1,,1,Morocco,Africa,EU
1981,9,12,7,15,54.1,,,PAKISTAN: GILGIT,35.693,73.594,33,5.9,,220,3,,,2500,4,5,2,,,,,220,3,,,2500,4,5,2,,,,,Pakistan,Asia,EU
1965,1,1,21,38,29.2,,,ALGERIA:  M'SILA,35.7,4.4,10,5.5,,4,1,,,350,3,2,2,25000,4,,,4,1,,,350,3,2,2,2500,4,,,Algeria,Africa,EU
2008,6,6,20,2,56.8,,,ALGERIA:  ORAN,35.883,-0.658,4,5.5,,1,1,,,30,1,,2,,2,,2,1,1,,,30,1,,2,,2,,,Algeria,Africa,EU
2010,5,14,12,29,22.3,,,ALGERIA:  NORTHERN:  BENI YELLMAN,35.9,4.12,2,5.2,,2,1,,,43,1,,,,,,,2,1,,,43,1,,,,,,,Algeria,Africa,EU
1987,1,26,11,11,41.8,,,"ALGERIA:  MOHAMMADIA, QUED, FODDA, TISSEMSILT",35.964,1.374,10,4.3,,1,1,,,7,1,1,2,629,3,,,1,1,,,7,1,1,2,629,3,,,Algeria,Africa,EU
1990,4,26,9,37,15,,,CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI,35.986,100.245,8,6.9,,126,3,,,2049,4,58.35,4,66800,4,66800,4,126,3,,,2049,4,58.35,4,66800,4,,,China,Asia,EU
1991,1,31,23,3,33.6,,,"AFGHANISTAN:  BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR",35.993,70.423,142,6.4,7,848,3,,,200,3,36,4,,3,2000,4,848,3,,,200,3,36,4,,3,2000,4,Afghanistan,Asia,EU
1960,2,21,8,13,31,,,ALGERIA:  MELOUZA,36,4.1,33,5.6,,47,1,,,88,2,,2,,,,,47,1,,,88,2,,2,,,,,Algeria,Africa,EU
1969,2,28,2,40,32.5,2012,,"PORTUGAL; MOROCCO:  RABAT, SALE; SPAIN:  CANARY IS",36.017,-10.95,22,7.8,7,25,1,,,80,2,,2,,3,,4,25,1,,,80,2,,2,,3,,4,Portugal,Europe,EU
2012,6,11,5,29,11.5,,,AFGHANISTAN:  HINDU KUSH,36.023,69.351,16,5.8,,75,2,,,13,1,,2,143,3,593,3,75,2,,,13,1,,2,143,3,593,3,Afghanistan,Asia,EU
2002,3,25,14,56,33.8,,,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",36.062,69.315,8,6.1,,1000,3,,,200,3,,4,1500,4,1500,4,1000,3,,,200,3,,4,1500,4,,,Afghanistan,Asia,EU
1982,12,16,0,40,48.7,,,AFGHANISTAN:  NORTHEASTERN,36.148,69.011,36,6.6,,500,3,,,3000,4,1,2,,,,,500,3,,,3000,4,1,2,,,,,Afghanistan,Asia,EU
1985,7,29,7,54,44,,,"AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT",36.19,70.896,99,6.6,8,5,1,,,38,1,2,2,,,,,5,1,,,38,1,2,2,,,,,Afghanistan,Asia,EU
1980,10,10,12,25,26,2916,,ALGERIA:  NORTHERN,36.199,1.374,10,7.1,10,5000,4,,,9000,4,5200,4,25000,4,,,5000,4,,,9000,4,5200,4,250000,4,,,Algeria,Africa,EU
1972,6,24,15,29,22.2,,,"AFGHANISTAN:  HINDU KUSH:  SARSANGI, NARIN COUNTIES",36.2,69.7,47,6.1,6,11,1,,,15,1,,2,,3,,3,,,,,,,,,,,,,Afghanistan,Asia,EU
1954,9,9,1,4,43.4,3394,,ALGERIA:  ORLEANSVILLE,36.274,1.594,15,6.7,11,1243,4,,,5000,4,6,3,20000,4,,,1243,4,,,5000,4,6,3,20000,4,,,Algeria,Africa,EU
1975,7,11,7,18,46.6,,,ALGERIA:  DJEBEL BABOR,36.32,5.241,30,4.3,,1,1,,,18,1,,2,,,,,1,1,,,18,1,,2,,,,,Algeria,Africa,EU
2005,12,12,21,47,46,,,"AFGHANISTAN:  TILI, JALALABAD, BADAKHSHAN",36.357,71.093,225,6.5,,5,1,,,1,1,,1,100,2,100,2,5,1,,,1,1,,1,100,2,,,Afghanistan,Asia,EU
1983,12,30,23,52,39.9,,,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.372,70.738,215,7.2,7,26,1,,,483,3,3,2,,,,,26,1,,,483,3,3,2,,,,,Afghanistan,Asia,EU
1997,5,13,14,13,45.7,,,"AFGHANISTAN:  HINDU-KUSH, MALAKAND-PESHAWAR",36.411,70.945,196,6.4,,1,1,,,11,1,,2,,,,2,1,1,,,11,1,,2,,,,2,Afghanistan,Asia,EU
1995,7,21,22,44,4.5,,,"CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI",36.427,103.123,13,5.6,,14,1,,,60,1,,3,4500,4,,,14,1,,,60,1,,3,4500,4,,,China,Asia,EU
1984,2,16,17,18,41.6,,,PAKISTAN-NW AFGHANISTAN:  HINDU KUSH: CHITRAL-LANDI,36.431,70.826,208,6.1,6,4,1,,,13,1,5,2,,,,,4,1,,,13,1,5,2,,,,,Pakistan,Asia,EU
2016,4,10,10,29,12,,,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.473,71.131,212,6.6,5,6,1,,,5,1,,1,,,20,1,6,1,,,5,1,,1,,,20,1,Afghanistan,Asia,EU
1998,2,20,12,18,6.2,,,"AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR",36.479,71.086,236,6.4,,1,1,,,11,1,,2,35,1,,,1,1,,,11,1,,2,35,1,,,Afghanistan,Asia,EU
2015,12,25,19,14,19,,,AFGHANISTAN; PAKISTAN,36.494,71.126,206,6.3,5,4,1,,,97,2,,1,,1,,1,4,1,,,97,2,,1,,1,,1,Afghanistan,Asia,EU
2004,4,5,21,24,4,,,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.512,71.029,187,6.5,,3,1,,,5,1,,,,,,,3,1,,,5,1,,,,,,,Afghanistan,Asia,EU
